latin,translation,part_of_speech,level,genitive,gender,declension,principal_parts,conjugation
puella,girl,noun,1,puellae,f,1,,
puer,boy,noun,1,pueri,m,2,,
vir,man,noun,1,viri,m,2,,
femina,woman,noun,1,feminae,f,1,,
pater,father,noun,1,patris,m,3,,
mater,mother,noun,1,matris,f,3,,
filius,son,noun,1,filii,m,2,,
filia,daughter,noun,1,filiae,f,1,,
dominus,master,noun,1,domini,m,2,,
ancilla,slave-girl,noun,1,ancillae,f,1,,
servus,slave,noun,1,servi,m,2,,
liber,book,noun,1,libri,m,2,,
titulus,title,noun,1,tituli,m,2,,
pagina,page,noun,1,paginae,f,1,,
antiquus,ancient,adj,1,,,1/2,,
novus,new,adj,1,,,1/2,,
ceteri,the others,adj,1,,,1/2,,
meus,my,adj,1,,,1/2,,
tuus,your,adj,1,,,1/2,,
centum,hundred,num,1,,,,,
duo,two,num,1,,,,,
tres,three,num,1,,,,,
fluvius,river,noun,1,fluvii,m,2,,
insula,island,noun,1,insulae,f,1,,
oppidum,town,noun,1,oppidi,n,2,,
oceanus,ocean,noun,1,oceani,m,2,,
imperium,empire,noun,1,imperii,n,2,,
provincia,province,noun,1,provinciae,f,1,,
numerus,number,noun,1,numeri,m,2,,
littera,letter,noun,1,litterae,f,1,,
vocabulum,word,noun,1,vocabuli,n,2,,
capitulum,chapter,noun,1,capituli,n,2,,
syllaba,syllable,noun,1,syllabae,f,1,,
exemplum,example,noun,1,exempli,n,2,,
pensum,task,noun,1,pensi,n,2,,
magnus,big,adj,1,,,1/2,,
parvus,small,adj,1,,,1/2,,
graecus,greek,adj,1,,,1/2,,
romanus,roman,adj,1,,,1/2,,
latinus,latin,adj,1,,,1/2,,
multi,many,adj,1,,,1/2,,
pauci,few,adj,1,,,1/2,,
unus,one,num,1,,,,,
mille,thousand,num,1,,,,,
primus,first,adj,1,,,1/2,,
secundus,second,adj,1,,,1/2,,
tertius,third,adj,1,,,1/2,,
est,is,verb,1,,,,"sum, esse, fui, futurum",irreg
sunt,are,verb,1,,,,"sum, esse, fui, futurum",irreg
in,in/on,prep,1,,,,,
et,and,conj,1,,,,,
sed,but,conj,1,,,,,
non,not,adv,1,,,,,
quoque,also,adv,1,,,,,
ubi,where,adv,1,,,,,
num,?,part,1,,,,,
quid,what,pron,1,,,,,
quis,who,pron,1,,,,,
qui,who,pron,1,,,,,
cuius,whose,pron,1,,,,,
amo,love,verb,1,,,,"amo, amare, amavi, amatum",1
video,see,verb,1,,,,"video, videre, vidi, visum",2
lego,read,verb,1,,,,"lego, legere, legi, lectum",3
audio,hear,verb,1,,,,"audio, audire, audivi, auditum",4
capio,take,verb,1,,,,"capio, capere, cepi, captum",3io
facio,make/do,verb,1,,,,"facio, facere, feci, factum",3io
ago,do/drive,verb,1,,,,"ago, agere, egi, actum",3
dico,say,verb,1,,,,"dico, dicere, dixi, dictum",3
venio,come,verb,1,,,,"venio, venire, veni, ventum",4
habeo,have,verb,1,,,,"habeo, habere, habui, habitum",2
do,give,verb,1,,,,"do, dare, dedi, datum",1
voco,call,verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno,fight,verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno,attack,verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco,kill,verb,1,,,,"neco, necare, necavi, necatum",1
timeo,fear,verb,1,,,,"timeo, timere, timui, -",2
moneo,warn,verb,1,,,,"moneo, monere, monui, monitum",2
duco,lead,verb,1,,,,"duco, ducere, duxi, ductum",3
mitto,send,verb,1,,,,"mitto, mittere, misi, missum",3
pono,put,verb,1,,,,"pono, ponere, posui, positum",3
scribo,write,verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco,conquer,verb,1,,,,"vinco, vincere, vici, victum",3
vivo,live,verb,1,,,,"vivo, vivere, vixi, victum",3
dormio,sleep,verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio,know,verb,1,,,,"scio, scire, scivi, scitum",4
nescio,not know,verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via,road,noun,1,viae,f,1,,
murus,wall,noun,1,muri,m,2,,
porta,gate,noun,1,portae,f,1,,
lectica,litter,noun,1,lecticae,f,1,,
saccus,sack,noun,1,sacci,m,2,,
humerus,shoulder,noun,1,humeri,m,2,,
amicus,friend,noun,1,amici,m,2,,
inimicus,enemy,noun,1,inimici,m,2,,
equus,horse,noun,1,equi,m,2,,
oculus,eye,noun,1,oculi,m,2,,
lacrima,tear,noun,1,lacrimae,f,1,,
speculum,mirror,noun,1,speculi,n,2,,
ostium,door,noun,1,ostii,n,2,,
atrium,atrium,noun,1,atrii,n,2,,
impluvium,pool,noun,1,impluvii,n,2,,
cubiculum,bedroom,noun,1,cubiculi,n,2,,
tablinum,study,noun,1,tablini,n,2,,
peristylum,peristyle,noun,1,peristyli,n,2,,
lilium,lily,noun,1,lilii,n,2,,
nasus,nose,noun,1,nasi,m,2,,
rosa,rose,noun,1,rosae,f,1,,
malum,apple,noun,1,mali,n,2,,
pirum,pear,noun,1,piri,n,2,,
oscilum,kiss,noun,1,oscili,n,2,,
beatus,happy,adj,1,,,1/2,,
fessus,tired,adj,1,,,1/2,,
iratus,angry,adj,1,,,1/2,,
laetus,glad,adj,1,,,1/2,,
maestus,sad,adj,1,,,1/2,,
plenus,full,adj,1,,,1/2,,
solus,alone,adj,1,,,1/2,,
stultus,stupid,adj,1,,,1/2,,
tutus,safe,adj,1,,,1/2,,
vivus,alive,adj,1,,,1/2,,
mortuus,dead,adj,1,,,1/2,,
